Property,property_Code,subproperty,subproperty_code,standard_unit,Classification,Description,Link to GloSIS,AGROVOC,CHEBI,ENVO,OTHER LINKS
Base Saturation,Bas,Base saturation - sum of cations,Bassum,%,Chemical,"Base saturation calculated as the sum of cations represents the proportion of the cation exchange capacity (CEC) occupied by essential base cations like calcium, magnesium, potassium, and sodium. It provides insight into the soil's fertility status and its ability to resist acidification. Source: Soil Science Society of America.",http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Bassum,http://aims.fao.org/aos/agrovoc/c_29109 ,,,
Base Saturation,Bas,Calcium Saturation,Casat,%,Chemical,Measure describing the relative abundance of calcium in the soil exchange complex. It is the percentage of the cation exchange capacity (CEC) occupied by calcium ions (Ca²⁺).,,http://aims.fao.org/aos/agrovoc/c_29109 ,,,
Base Saturation,Bas,Magnesium Saturation,Mgsat,%,Chemical,Measure describing the relative abundance of magnesium in the soil exchange complex. It is the percentage of the cation exchange capacity (CEC) occupied by magnesium ions (Mg²⁺).,,,,,
Base Saturation,Bas,Potassium Saturation,Potsat,%,Chemical,Measure describing the relative abundance of potassium in the soil exchange complex. It is the percentage of the cation exchange capacity (CEC) occupied by potassium ions (K⁺).,,,,,
Base Saturation,Bas,Sodium Saturation,Sodexc,%,Chemical,"Exchangeable sodium percentage (ESP) measures the proportion of sodium ions in the cation exchange complex. High ESP levels (>15%) indicate sodic soils, which are prone to poor structure, reduced permeability, and nutrient imbalances. Management strategies include gypsum application and leaching. Source: USDA NRCS.",http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Sodexc,,,,
Base Saturation,Bas,Exchangeable Bases,Basexc,cmolc/kg ,Chemical,"Exchangeable bases refer to the cations (e.g., calcium, magnesium, potassium, and sodium) adsorbed onto soil colloids, which can readily exchange with soil solution ions. These cations are crucial for maintaining soil fertility, affecting nutrient availability and pH buffering capacity. High exchangeable base levels indicate fertile soil conducive to plant growth. Source: Soil Science Society of America.",http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Basexc,,,,
Boron,Bor,Boron Total,BorTot,mg/kg,Chemical,"Total boron includes all boron forms in soil, crucial for plant cell wall formation and reproductive processes. Deficiency can impair growth, while toxicity is a risk in arid soils or with excessive irrigation. Source: Havlin et al. (2014).",http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Bortot,,,,
Boron,Bor,Boron exctractable,Borext,mg/kg,Chemical,Boron bound to the soil matrix but that can be released into the soil solution (i.e. become bio-available),http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Borext,,,,
Bulk Density,BD,Bulk Density of the fine earth fraction,BulDfine,g/cm³,Physical,"This parameter measures the bulk density of the soil fraction smaller than 2 mm (excluding rocks and coarse fragments). It is used to assess the physical properties of soil related to root growth, water movement, and compaction. Source: Soil Science Society of America.",http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-BulDfine,,,,
Bulk Density,BD,Bulk Density of the whole soil,BulDwhole,g/cm³,Physical,"Bulk density measures the mass of soil per unit volume, including both solids and pore spaces. It is a critical parameter for assessing soil compaction, porosity, and water infiltration capacity. High bulk density often indicates poor aeration and root penetration, while low values are associated with high organic matter content and good structure. Source: USDA NRCS.",http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-BulDwhole,,,,
Cadmium,Cad,Cadmium Total,Cadtot,mg/kg,Chemical,"Cadmium is a heavy metal present in trace amounts in soils, often introduced through industrial pollution or phosphate fertilizers. It is toxic to plants, animals, and humans even at low concentrations. Monitoring cadmium levels is crucial to ensure soil safety and reduce contamination risks in the food chain. Source: Sparks, D.L. (2003).",http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Cad ,,,,
Calcium,Cal,Calcium exchangeable,Calexc,cmolc/kg,Chemical,Calcium bound to exchange surfaces in the soil such as clay minerals and organic matter that can be released to the soil solution upon exchange,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Calexc,,,,
Calcium,Cal,Calcium extractable,Calext,mg/kg,Chemical,Calcium bound to the soil matrix but that can be released into the soil solution (i.e. become bio-available),http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Calext,,,,
Calcium,Cal,Calcium soluble,Calsol,mg/kg,Chemical,Soluble Calcium cations accumulated in the soil. A contributor to soil salinisation.,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Calsol,,,,
Calcium,Cal,Calcium total,Caltot,mg/kg,Chemical,"Total calcium in soil includes all forms, from exchangeable calcium to calcium in minerals. It is essential for plant cell wall structure, enzyme activation, and soil aggregation. Calcium levels influence soil pH and nutrient availability. Source: Havlin et al. (2014).",http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Caltot,,,,
Calcium Carbonate,CC,Calcium carbonate total,CCtot,g/kg,Chemical,"Calcium Carbonate Total (CCtot)
Total calcium carbonate content in soil, encompassing all forms and particle sizes of CaCO₃ present, including coarse fragments and fine reactive fractions. It is a key indicator of soil parent material and reflects the overall buffering capacity of the soil, strongly influencing pH, nutrient availability (particularly phosphorus and micronutrients), and structural stability. Determined by acid dissolution (HCl) with volumetric or gasometric measurement of released CO₂. Source: Sparks, D.L. (2003).",http://w3id.org/glosis/model/codelists/coatingNatureValueCode-CC,,,,
Calcium Carbonate,CC,Calcium carbonate active,CCact,g/kg,Chemical,"The fine, chemically reactive fraction of total calcium carbonate (typically particles <50 μm) that readily dissolves and reacts in the soil solution. Unlike total carbonate, active lime directly affects short-term nutrient dynamics, most notably iron availability, and is the primary driver of iron chlorosis risk in sensitive crops. Determined by extraction with ammonium oxalate followed by titration (Drouineau-Galet method). Source: Havlin et al. (2014).",,,,,"
https://pmc.ncbi.nlm.nih.gov/articles/PMC10005150/
https://www.sciencedirect.com/science/article/abs/pii/S0378429010001693"
Carbon,Car,Carbon total,Cartot,g/kg,Chemical,"Total carbon in soil includes both organic carbon (from plant and microbial residues) and inorganic carbon (primarily carbonates). It is a fundamental component of soil organic matter, influencing soil fertility, structure, and water retention. High carbon levels are associated with better soil health and productivity. Source: USDA NRCS.",http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Cartot,,,,
Carbon,Car,Carbon organic,Carorg,g/kg,Chemical,"Organic carbon refers to the carbon component of soil organic matter, derived from decomposed plant and microbial residues. It serves as a key energy source for soil microbes and influences nutrient cycling, soil structure, and water retention. Organic carbon is a primary indicator of soil fertility and health. Source: Brady & Weil (2017).",http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Carorg,,,,
Carbon,Car,Carbon inorganic,Carinorg,g/kg,Chemical,"Inorganic carbon in soil primarily consists of carbonates like calcium carbonate and magnesium carbonate. It contributes to soil pH buffering and is a significant feature of arid and calcareous soils. Excess inorganic carbon can immobilize certain nutrients, requiring careful management in agricultural systems. Source: Soil Science Society of America.", http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Carinorg,,,,
C/N ratio,CaN,,,,Biological,"The C/N ratio represents the proportion of carbon to nitrogen in organic matter. It influences decomposition rates and nutrient availability. A lower C/N ratio promotes rapid organic matter breakdown and nitrogen release, while a high ratio may lead to nitrogen immobilization, affecting plant growth. Source: Brady & Weil (2017).",http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-CaN,,,,
Cation Exchange Capacity,CEC,Cation exchange capacity potential,CECpot,cmolc/kg,Chemical,"CEC measures the soil’s ability to hold and exchange positively charged ions (cations). It is a critical indicator of soil fertility, as higher CEC values imply greater capacity to retain essential nutrients like calcium, magnesium, and potassium. Clayey and organic-rich soils typically exhibit higher CEC. Source: Soil Science Society of America.",http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-CEC,,,,
Cation Exchange Capacity,CEC,Cation exchange capacity effective,ECEC,cmolc/kg,Chemical,"ECEC is the sum of exchangeable cations in soil at its natural pH. It provides a measure of the soil’s fertility under acidic conditions, as it considers both base cations and exchangeable aluminum. Source: Brady & Weil (2017).",http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-ECEC,,,,
Cation Ratios,Catratio,Ca/Mg ratio,CaMg,,Chemical,"The ratio of calcium (Ca²⁺) to magnesium (Mg²⁺) in the soil. This balance affects soil structure, nutrient availability, and plant uptake.",,,,,
Cation Ratios,Catratio,Mg/K ratio,MgK,,Chemical,The ratio of magnesium (Mg²⁺) to potassium (K⁺) in the soil. Essential for nutrient balance and preventing potassium-induced magnesium deficiency.,,,,,
Cation Ratios,Catratio,Ca/K ratio,CaK,,Chemical,The ratio of calcium (Ca²⁺) to potassium (K⁺) in the soil. Influences potassium availability and uptake by plants.,,,,,
Clay Fraction,ClayFractionTexture,,,%w,Physical,"Clay fraction texture describes the particle-size distribution and properties of the clay fraction within the soil. It influences water retention, aeration, and soil plasticity. Source: Hillel, D. (2004). Introduction to Environmental Soil Physics.","http://w3id.org/glosis/model/layerhorizon/ClayFractionTexture
 ",,,,
Coarse Fragments,CF,Coarse fragments volumetric,cfvo,%v,Physical,Volumetric content of coatings and clay accumulation in the form of coarse fragments,http://w3id.org/glosis/model/codelists/coatingLocationValueCode-CF,,,,
Coarse Fragments,CF,Coarse fragments gravimetric,cfgr,%w,Physical,Gravimetric content of coatings and clay accumulation in the form of coarse fragments,http://w3id.org/glosis/model/codelists/coatingLocationValueCode-CF,,,,
Cobalt,Co,Cobalt Total,Cotot,mg/kg,Chemical,"Cobalt is a trace metal naturally present in soils, primarily derived from parent material and mineral weathering, but it may also be introduced through industrial activities, mining, and the application of fertilizers and amendments. In small amounts, cobalt is an essential micronutrient for some plants and soil microorganisms, but elevated concentrations can be toxic to plants, animals, and humans.",,,,,
Copper,Cu,Copper total,Coptot,mg/kg,Chemical,"Total copper comprises all soil copper, including bound and free forms. Copper is vital for plant enzyme activation and metabolic processes. Deficiencies can lead to reduced growth and yields, while excess copper may inhibit root development. Source: Soil Science Society of America.",http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Coptot,,,,
Copper,Cu,Copper extractable,Copext,mg/kg,Chemical,Copper bound to the soil matrix but that can be released into the soil solution (i.e. become bio-available),http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Copext,,,,
Depth of Organic Horizon,Orghordepth,,,cm,Biological,"The organic horizon is the uppermost soil layer dominated by organic matter derived from the accumulation and decomposition of plant and animal residues, and it typically forms above the mineral soil or constitutes the entire profile in organic soils. . The ""O"" stands for organic matter. Depth of the organic horizon is the vertical thickness of this organic layer, measured from the soil surface to the boundary with the underlying mineral horizon, and serves as an indicator of organic matter accumulation, biological activity, and surface soil functioning.",,,,,
Depth to Rock Horizon,Rhor,,,cm,Physical,"Depth to the rock horizon is the vertical distance from the soil surface to the R horizon, which consists of unweathered or partially weathered consolidated bedrock. This indicator reflects soil depth limitations affecting rooting depth, water storage capacity, and land use suitability.",,,,,
Drought Vulnerability,drghtvul,,,,Derived,"Drought vulnerability refers to the susceptibility of a community, environment, or system to the negative impacts of drought (Li et al., 2015; Serkendiz & Tatli, 2023).",,,,,
Earthworms,earthworm,Earthworms Abundance,wormabun,n. indiv./m²,Biological,"Earthworms are segmented invertebrates that play a key role in soil structure formation, organic matter decomposition, and nutrient cycling through their feeding and burrowing activities. Earthworms abundance is the total number of individual earthworms present per unit area of soil, and serves as an indicator of soil biological activity, organic matter availability, and overall soil health.",,,,,
Earthworms,earthworm,Earthworms Biomass,wormbiom,g/m²,Biological,"Earthworms are segmented invertebrates that strongly influence soil physical structure and biogeochemical processes. Earthworms biomass is the total mass of all earthworm individuals per unit area of soil, integrating both abundance and body size, and reflecting their contribution to soil aggregation, aeration, and nutrient cycling.",,,,,
Earthworms,earthworm,Earthworms Species Richness,wormrich,n. species,Biological,"Earthworms are segmented invertebrates comprising multiple ecological groups with distinct functional roles in soil ecosystems. Earthworms species richness is the number of distinct earthworm species present in a defined area or soil sample, and is used as an indicator of soil biodiversity, ecological complexity, and resilience to land-use change and disturbance.",,,,,
Electrical conductivity,Eleccond,,,dS/m,Chemical,"Electrical conductivity (EC) measures the ability of soil to conduct an electrical current, which is directly related to the concentration of soluble salts. It is an essential indicator of soil salinity and is used to assess soil's suitability for crop growth. High EC levels can reduce plant water uptake and affect germination, while low levels indicate low salinity and better soil health. Source: USDA NRCS.",http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Eleccond,,,,
Gypsum,gypsum,Gypsum content - weight,Gyp,%w,Chemical,"The gypsum content, expressed as weight, refers to the soil’s calcium sulfate levels. Gypsum improves soil structure, alleviates sodicity, and enhances water infiltration. It is commonly applied to saline-sodic soils for reclamation. Source: FAO Soil Bulletin.",http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Gyp,http://aims.fao.org/aos/agrovoc/c_4751 ,,,
Hydraulic conductivity,Hydcond,,,cm/h,Physical,"Hydraulic conductivity refers to the rate at which water moves through soil pores under a unit hydraulic gradient. It reflects the soil's ability to transmit water, influenced by texture, structure, and porosity. Soils with high hydraulic conductivity, like sandy soils, allow rapid water movement, while clayey soils exhibit slower water flow. This property is critical for understanding water infiltration, drainage, and irrigation management. Source: Brady, N.C., & Weil, R.R. (2017). The Nature and Properties of Soils.",http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Hydcond,,,,
Hydraulic conductivity,Hydcond,Saturated Hydraulic Conductivity,Ksat,cm/h,Physical,"Hydraulic conductivity refers to the rate at which water moves through soil pores under a unit hydraulic gradient. It reflects the soil's ability to transmit water, influenced by texture, structure, and porosity. Soils with high hydraulic conductivity, like sandy soils, allow rapid water movement, while clayey soils exhibit slower water flow. This property is critical for understanding water infiltration, drainage, and irrigation management. Source: Brady, N.C., & Weil, R.R. (2017). The Nature and Properties of Soils.Saturated Hydraulic Conductivity (Ksat) refers to the rate at which water moves through fully saturated soil under a unit hydraulic gradient. It represents the soil’s ability to transmit water when all pores are filled, influenced by factors such as texture, structure, and porosity.",http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Hydcond,,,,
Infiltration Rate,Infilrate,,,mm/h,Physical,"The numeric infiltration rate is the quantitative measurement of the rate at which water infiltrates the soil, typically expressed in millimeters per hour (mm/h). It is a critical factor in soil water management, affecting irrigation practices, runoff, and drainage efficiency. Source: Bouwer, H. (2000). Integrated Water Management for the 21st Century. Water Resources Research.",https://glosis-ld.github.io/glosis/glosis_common/index-en.html#/InfiltrationRateNumeric,,,,
Iron,Iron,Iron total,Irontot,mg/kg,Chemical,"Total iron includes all iron forms in the soil, from soluble ferrous iron (Fe²⁺) to insoluble ferric iron (Fe³⁺). Iron is essential for plant chlorophyll synthesis and various enzymatic reactions. Deficiency, often seen in alkaline soils, results in chlorosis, while excessive iron can cause toxicity in acidic soils. Source: Soil Chemistry by Bohn et al.", http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Irotot,,,,
Iron,Iron,Iron extractable,Iroext,mg/kg,Chemical,Iron bound to the soil matrix but that can be released into the soil solution (i.e. become bio-available),http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Iroext,,,,
Magnesium,Mag,Magnesium extractable,Magext,mg/kg,Chemical,Magnesium bound to the soil matrix but that can be released into the soil solution (i.e. become bio-available),http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Magext,,,,
Magnesium,Mag,Magnesium total,Mgtot,mg/kg,Chemical,"Total magnesium in soil includes exchangeable, soluble, and mineral-bound forms. Magnesium is essential for chlorophyll synthesis, enzyme activation, and nutrient transport in plants. Its availability is influenced by soil pH and texture. Source: Havlin et al. (2014).",http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Magtot,,,,
Magnesium,Mag,Magnesium exchangeable,Magexc,cmolc/kg,Chemical,Magnesium bound to exchange surfaces in the soil such as clay minerals and organic matter that can be released to the soil solution upon exchange,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Magexc,,,,
Magnesium,Mag,Magnesium soluble,Magsol,mg/kg,Chemical,Soluble Magnesium cations accumulated in the soil. A contributor to soil salinisation.,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Magsol,,,,
Manganese,Man,Manganese total,Mantot,mg/kg,Chemical,"Total manganese refers to all forms of manganese in the soil, which is critical for photosynthesis, enzyme activation, and nitrogen metabolism in plants. Manganese deficiencies or toxicities are influenced by soil pH, with deficiencies occurring in high-pH soils and toxicities in low-pH, waterlogged soils. Source: Brady & Weil (2017).",http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Mantot,,,,
Manganese,Man,Manganese extractable,Manext,mg/kg,Chemical,Manganese bound to the soil matrix but that can be released into the soil solution (i.e. become bio-available),http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Manext,,,,
Manganese,Man,Manganese exchangeable,Manexc,cmolc/kg,Chemical,Manganese cations adsorbed on soil colloids that are readily exchangeable with the soil solution; indicative of the pool of manganese available for exchange reactions affecting soil chemistry and plant nutrient dynamics.,https://glosis-ld.github.io/glosis/glosis_layer_horizon/index-en.html#/ManganeseExchangeableBases,,,,
Mercury,Mer,Mercury total,Mertot,mg/kg,Chemical,"Mercury is a heavy metal present in soils due to natural sources, industrial emissions, and agricultural inputs like fungicides. It exists in elemental, inorganic, and organic forms, with methylmercury being highly toxic and bioavailable. Monitoring mercury levels is crucial to prevent soil and water contamination and mitigate risks to ecosystems and human health",,,,,
Molybdenum,Mol,Molybdenum tot,Moltot,mg/kg,Chemical,"Molybdenum is a micronutrient essential for plant enzymes involved in nitrogen fixation and nitrate reduction. Deficiency, often observed in acidic soils, can lead to stunted growth and poor nitrogen utilization. Its availability increases with higher pH, making liming a common solution for molybdenum deficiencies. Source: Havlin et al. (2014).",http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Mol,,,,
Nematode,nematodes,Nematode Abundance,nemabun,n. indiv./m²,Biological,"Elongated, cylindrical, unsegmented worm; includes a number of plant and animal parasites. Nematode abundance is the total number of nematode individuals per unit area of soil, reflecting the size and activity of the soil nematode community and serving as an indicator of soil biological activity and food-web functioning.",,,,,
Nematode,nematodes,Nematode Biomass,nembiom,g/m²,Biological,"Elongated, cylindrical, unsegmented worm; includes a number of plant and animal parasites. Nematode biomass is the total mass of all nematode individuals per unit area of soil, integrating both abundance and body size, and providing an estimate of their contribution to soil organic matter turnover and ecosystem functioning",,,,,
Nematode,nematodes,Nematode Species Richness,nemrich,n. species,Biological,"Elongated, cylindrical, unsegmented worm; includes a number of plant and animal parasites. Nematode species richness is the number of distinct nematode species (or taxa, depending on taxonomic resolution) present in a soil sample or defined area, and is used as an indicator of soil biodiversity, ecological complexity, and sensitivity to land-use change and disturbance.",,,,,
Nematode,nematodes,Nematode Bacterivores species,nembact,n/100g,Biological,Number of bacterivorous nematodes,,,,,
Nematode,nematodes,Nematode Fungivores species,nemfungi,n/100g,Biological,Number of fungivorous nematodes,,,,,
Nematode,nematodes,Nematode Herbivores species,nemherbi,n/100g,Biological,Number of herbivorous nematodes,,,,,
Nematode,nematodes,Nematode Omnivores species,nemomni,n/100g,Biological,Number of omnivorous nematodes,,,,,
Nematode,nematodes,Nematode Predators species,nempred,n/100g,Biological,Number of predatory nematodes,,,,,
Nematode,nematodes,Nematode Unidentified species,nemunidentified,n/100g,Biological,Number of unidentified nematodes,,,,,
Nematode,nematodes,Total Number of nematode species,nemtot,n/100g,Biological,Total number of nematodes,,,,,
Nitrogen,Nit,Nitrogen total,Nittot,g/kg,Chemical,"Total nitrogen encompasses all nitrogen forms in soil, including organic nitrogen in humus and inorganic nitrogen such as ammonium (NH₄⁺) and nitrate (NO₃⁻). Nitrogen is essential for plant growth, being a vital component of amino acids, proteins, and chlorophyll. Total nitrogen is a key indicator of soil fertility and its capacity to sustain long-term crop productivity. Source: Brady & Weil (2017).",http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Nittot,,,,
Nitrogen,Nit,Nitrite soluble,Nit2,mg/kg,Chemical,Soluble Nitrite anions accumulated in the soil. A contributor to soil salinisation.,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Nit2,,,,
Nitrogen,Nit,Nitrate soluble,Nit3,mg/kg,Chemical,Soluble Nitrate anions accumulated in the soil. A contributor to soil salinisation.,http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Nit3,,,,
Organic Carbon Index,Carorgindx,Organic Carbon Density,Carorgden,kg/m³,Derived,"Organic carbon density is the amount of organic carbon per unit volume of soil, calculated from soil organic carbon concentration and bulk density. It represents the spatial distribution of organic carbon within the soil profile and is used to compare carbon storage efficiency across soils with different compaction or structure.",,,,,
Organic Carbon Index,Carorgindx,Organic Carbon Stock,Carorgstock,t/ha,Derived,"Organic carbon stock is the total mass of organic carbon stored in a defined soil layer and area, calculated by integrating organic carbon concentration, bulk density, soil depth, and coarse fragment content. It is a key indicator for climate change mitigation, carbon sequestration potential, and soil health assessment.",,,,,
Organic matter,Orgmat,,,g/kg,Biological,"Soil organic matter is composed of decomposed plant and animal residues, living soil organisms, and humus. It improves soil structure, water retention, nutrient supply, and microbial activity, making it critical for sustainable agriculture and soil health. Source: Brady & Weil (2017).",http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Orgmat,,,,
Permanent Wilting Point,PWP,,,cm³/cm³,Physical,"A concentration of liquid water in soil at or below which a plant will wilt and no longer recover its turgidity when placed in a water saturated atmosphere. The type of plant and soil are sources of variation for values of this concentration. The physical definition of the wilting point is conventionally measured as the water content at −1,500 kPa (−15 bar) of suction pressure, or negative hydraulic head.",,,,,https://casoilresource.lawr.ucdavis.edu/gmap/help/defn-kf-factor.html
pH,pH,,,pH,Chemical,"Soil pH measures the concentration of hydrogen ions (H⁺) in the soil solution, indicating its acidity or alkalinity on a scale from 1 to 14. Neutral soils have a pH of 7, while values below 7 are acidic and above are alkaline. Soil pH significantly affects nutrient availability, microbial activity, and plant growth. For instance, nutrients like phosphorus are most available in a pH range of 6 to 7. Lime or sulfur applications can adjust soil pH to optimize conditions for crops. Source: USDA Natural Resources Conservation Service (NRCS).",http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-pH,,,,
Phosphorous Retention,Phoret,,,mg/kg ,Derived,"Phosphorus retention measures a soil's capacity to adsorb and hold phosphorus, influenced by soil texture, pH, and mineralogy. While high retention reduces leaching, it may also limit phosphorus availability to plants. Understanding phosphorus retention helps optimize fertilization and minimize environmental impacts. Source: Brady & Weil (2017).",http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Phoret ,,,,
Phosphorus,Pho,Phosphorus extractable,Phoext,mg/kg,Chemical,Phosphorus bound to the soil matrix but that can be released into the soil solution (i.e. become bio-available),http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Phoext,,,,
Phosphorus,Pho,Phosphorus total,Photot,mg/kg,Chemical,"Total phosphorus includes all forms of phosphorus in the soil, both organic and inorganic. While only a fraction is plant-available, total phosphorus serves as a long-term reserve for crop nutrition. Adequate phosphorus levels are crucial for energy transfer, photosynthesis, and root development in plants. Source: Soil Chemistry by Bohn et al.",http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Photot,,,,
Phosphorus,Pho,Dissolved Phosphorus,Phodis,mg/kg,Chemical,"Phosphorus present in the soil solution, mainly as inorganic orthophosphate (H₂PO₄⁻ and HPO₄²⁻), representing the immediately mobile and potentially bioavailable phosphorus pool.",,http://aims.fao.org/aos/agrovoc/c_7061 ,http://purl.obolibrary.org/obo/CHEBI_27573,,
Phosphorus Sorption Index,PSI,,,,Chemical,PSI is the ratio of phosphorus sorbed by the soil to the logarithm of the equilibrium phosphorus concentration in the solution after a single phosphorus addition.,,,,,
Porosity,Por,,,%v,Physical,"Porosity refers to the percentage of soil volume occupied by pores or voids, which hold air and water. It directly impacts water infiltration, drainage, and root growth. Soils with high porosity are better suited for crop cultivation, as they provide good aeration and water availability. Source: Brady & Weil (2017).",http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Por,,,,
Potassium,Pot,Potassium extractable,Potext,mg/kg,Chemical,Potassium bound to the soil matrix but that can be released into the soil solution (i.e. become bio-available),http://w3id.org/glosis/model/codelists/physioChemicalPropertyCode-Potext,,,,
